IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,DISTANCE_MILES,CONNECTION_MODE,SERVER_COUNT,WEATHER,TEMPERATURE,CONNECTED_DEVICES,CONNECTION_TYPE
186.119.83.127,07/30/2021 09:02,GMT,11.23,0.78,40,Medellín,100,multi,1,Muy nublado,18,1,Wifi
186.119.83.127,07/30/2021 09:00,GMT,10.65,0.66,37,Bogotá,200,multi,1,Muy nublado,18,1,Wifi
186.119.95.174,07/29/2021 19:06,GMT,10.2,0.75,190,Madrid,5100,multi,1,Lluvia debil,14,1,Cable
186.119.95.174,07/29/2021 19:04,GMT,10.9,0.84,41,Medellín,100,multi,1,Lluvia debil,14,1,Cable
186.119.95.174,07/29/2021 19:01,GMT,11.1,0.68,37,Bogotá,200,multi,1,Lluvia debil,14,1,Cable
186.119.83.127,07/29/2021 19:07,GMT,7.47,0.45,188,Madrid,5100,multi,1,Lluvia debil,14,1,Wifi
186.119.83.127,07/29/2021 19:05,GMT,6.28,0.47,40,Medellín,100,multi,1,Lluvia debil,14,1,Wifi
186.119.83.127,07/29/2021 19:00,GMT,3.85,0.67,36,Bogotá,200,multi,1,Lluvia debil,14,1,Wifi
186.119.95.174,07/29/2021 14:07,GMT,8.87,0.73,194,Madrid,5100,multi,1,Muy nublado,20,1,Cable
186.119.95.174,07/29/2021 14:04,GMT,8.88,0.72,41,Medellín,100,multi,1,Muy nublado,20,1,Cable
186.119.95.174,07/29/2021 14:01,GMT,4.85,0.4,39,Bogotá,200,multi,1,Muy nublado,20,1,Cable
186.119.83.127,07/29/2021 14:06,GMT,7.47,0.79,193,Madrid,5100,multi,1,Muy nublado,20,1,Wifi
186.119.83.127,07/29/2021 14:03,GMT,11.35,0.73,40,Medellín,100,multi,1,Muy nublado,20,1,Wifi
186.119.83.127,07/29/2021 14:00,GMT,11.2,0.76,36,Bogotá,200,multi,1,Muy nublado,20,1,Wifi
186.119.95.174,07/29/2021 09:07,GMT,9.63,0.31,196,Madrid,5100,multi,1,Muy nublado,17,1,Cable
186.119.95.174,07/29/2021 09:04,GMT,4.82,0.29,41,Medellín,100,multi,1,Muy nublado,17,1,Cable
186.119.95.174,07/29/2021 09:00,GMT,09.05,0.64,37,Bogotá,200,multi,1,Muy nublado,17,1,Cable
186.119.83.127,07/29/2021 09:05,GMT,7.86,0.79,196,Madrid,5100,multi,1,Muy nublado,17,1,Wifi
186.119.83.127,07/29/2021 09:03,GMT,11.34,0.81,36,Medellín,100,multi,1,Muy nublado,17,1,Wifi
186.119.83.127,07/29/2021 09:00,GMT,4.76,0.77,39,Bogotá,200,multi,1,Muy nublado,17,1,Wifi
186.119.95.174,07/28/2021 19:07,GMT,11.5,0.75,200,Madrid,5100,multi,1,Nublado,16,1,Cable
186.119.95.174,07/28/2021 19:03,GMT,11.4,0.85,70,Medellín,100,multi,1,Nublado,16,1,Cable
186.119.95.174,07/28/2021 19:00,GMT,11.4,0.84,40,Bogotá,200,multi,1,Nublado,16,1,Cable
186.119.83.127,07/28/2021 19:06,GMT,8.62,0.45,205,Madrid,5100,multi,1,Nublado,16,1,Wifi
186.119.83.127,07/28/2021 19:04,GMT,9.21,0.79,47,Medellín,100,multi,1,Nublado,16,1,Wifi
186.119.83.127,07/28/2021 19:01,GMT,11.4,0.8,36,Bogotá,200,multi,1,Nublado,16,1,Wifi
186.119.95.174,07/28/2021 14:07,GMT,11.3,0.75,206,Madrid,5100,multi,1,Muy nublado,20,1,Cable
186.119.95.174,07/28/2021 14:04,GMT,10.7,0.82,40,Medellín,100,multi,1,Muy nublado,20,1,Cable
186.119.95.174,07/28/2021 14:00,GMT,11.3,0.81,36,Bogotá,200,multi,1,Muy nublado,20,1,Cable
186.119.83.127,07/28/2021 14:06,GMT,11.2,0.83,196,Madrid,5100,multi,1,Muy nublado,20,1,Wifi
186.119.83.127,07/28/2021 14:03,GMT,9.19,0.78,44,Medellín,100,multi,1,Muy nublado,20,1,Wifi
186.119.83.127,07/28/2021 14:00,GMT,8.93,0.43,37,Bogotá,200,multi,1,Muy nublado,20,1,Wifi
186.119.95.174,07/28/2021 9:09,GMT,10.5,0.79,192,Madrid,5100,multi,1,Muy nublado,17,1,Cable
186.119.95.174,07/28/2021 9:04,GMT,11.5,0.79,40,Medellín,100,multi,1,Muy nublado,17,1,Cable
186.119.95.174,07/28/2021 9:00,GMT,11.3,0.86,38,Bogotá,200,multi,1,Muy nublado,17,1,Cable
186.119.83.127,07/28/2021 9:07,GMT,4.69,0.59,193,Madrid,5100,multi,1,Muy nublado,17,1,Wifi
186.119.83.127,07/28/2021 9:03,GMT,9.93,0.51,41,Medellín,100,multi,1,Muy nublado,17,1,Wifi
186.119.83.127,07/28/2021 9:00,GMT,8.61,0.43,39,Bogotá,200,multi,1,Muy nublado,17,1,Wifi
186.119.95.174,07/27/2021 19:08,GMT,10.8,0.79,193,Madrid,5100,multi,1,Nublado,14,1,Cable
186.119.95.174,07/27/2021 19:05,GMT,10.6,0.91,47,Medellín,100,multi,1,Nublado,14,1,Cable
186.119.95.174,07/27/2021 19:00,GMT,11.4,0.82,37,Bogotá,200,multi,1,Nublado,14,1,Cable
186.119.83.127,07/27/2021 18:06,GMT,10.5,0.65,191,Madrid,5100,multi,1,Nublado,14,1,Wifi
186.119.83.127,07/27/2021 19:04,GMT,9.13,0.53,46,Medellín,100,multi,1,Nublado,14,1,Wifi
186.119.83.127,07/27/2021 19:00,GMT,9.75,0.7,36,Bogotá,200,multi,1,Nublado,14,1,Wifi
186.119.95.174,07/27/2021 14:07,GMT,11.4,0.8,197,Madrid,5100,multi,1,Nublado,23,1,Cable
186.119.95.174,07/27/2021 14:04,GMT,11.3,0.81,48,Medellín,100,multi,1,Nublado,23,1,Cable
186.119.95.174,07/27/2021 14:00,GMT,11.4,0.75,37,Bogotá,200,multi,1,Nublado,23,1,Cable
186.119.83.127,07/27/2021 14:03,GMT,11.2,0.76,48,Medellín,100,multi,1,Nublado,23,1,Wifi
186.119.83.127,07/27/2021 14:06,GMT,11.4,0.76,188,Madrid,5100,multi,1,Nublado,23,1,Wifi
186.119.83.127,07/27/2021 14:00,GMT,9.78,0.73,38,Bogotá,200,multi,1,Nublado,23,1,Wifi
