IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,DISTANCE_MILES,CONNECTION_MODE,SERVER_COUNT,WEATHER,TEMPERATURE,CONNECTED_DEVICES,CONNECTION_TYPE
181.140.97.128,07/29/2021 14:04,GMT,62.29,7.82,23,Bogotá,150,multi,1,parcialmente nublado,26,8,wifi
181.140.97.128,07/29/2021 14:01,GMT,61.97,8.34,12,Medellín,0,multi,4,parcialmente nublado,26,8,wifi
181.140.97.128,07/29/2021 9:07,GMT,34.68,2.69,159,Madrid,5000,multi,1,parcialmente nublado,24,8,wifi
181.140.97.128,07/29/2021 9:04,GMT,62.99,7.91,23,Bogotá,150,multi,1,parcialmente nublado,24,8,wifi
181.140.97.128,07/29/2021 9:00,GMT,63.03,7.65,27,Medellin,0,multi,1,parcialmente nublado,24,8,wifi
181.140.97.128,07/28/2021 19:07,GMT,40.94,1.75,163,Madrid,5000,multi,1,muy nublado,22,9,wifi
181.140.97.128,07/28/2021 19:03,GMT,55.56,7.57,20,Bogotá,150,multi,1,muy nublado,22,9,wifi
181.140.97.128,07/28/2021 19:00,GMT,51.05,7.01,28,Medellin,0,multi,1,muy nublado,22,9,wifi
181.140.97.128,07/28/2021 14:07,GMT,18.07,2.53,158,Madrid,5000,multi,1,parcialmente nublado,27,8,wifi
181.140.97.128,07/28/2021 14:04,GMT,35.91,7.84,23,Bogotá,150,multi,1,parcialmente nublado,27,8,wifi
181.140.97.128,07/28/2021 14:00,GMT,37.71,7.66,30,Medellin,0,multi,1,parcialmente nublado,27,8,wifi
181.140.97.128,07/28/2021 9:09,GMT,18.78,2.67,162,Madrid,5000,multi,1,muy nublado,23,8,wifi
181.140.97.128,07/28/2021 9:04,GMT,41.97,7.05,26,Bogotá,150,multi,1,muy nublado,23,8,wifi
181.140.97.128,07/28/2021 9:00,GMT,30.51,5.84,31,Medellin,0,multi,1,muy nublado,23,8,wifi
181.140.97.128,07/27/2021 19:08,GMT,53.9,2.83,157,Madrid,5000,multi,1,nublado,21,9,wifi
181.140.97.128,07/27/2021 19:05,GMT,62.51,8.11,23,Bogotá,150,multi,1,nublado,21,9,wifi
181.140.97.128,07/27/2021 19:00,GMT,61.75,8.09,12,Medellín,0,multi,4,nublado,21,9,wifi
181.140.97.128,07/27/2021 14:07,GMT,62.14,9.97,11,Medellín,0,multi,4,nublado,25,8,wifi
181.140.97.128,07/27/2021 14:04,GMT,46.63,2.8,156,Madrid,5000,multi,1,nublado,25,8,wifi
181.140.97.128,07/27/2021 14:00,GMT,61.94,8.3,21,Bogotá,150,multi,1,nublado,25,8,wifi
