IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,DISTANCE_MILES,CONNECTION_MODE,SERVER_COUNT,WEATHER,TEMPERATURE,CONNECTED_DEVICES,CONNECTION_TYPE
191.88.72.92,07/31/2021 19:24,GMT,10.74,4.54,181,Madrid,5000,multi,1,Parcialmente nublado,23,3,Wifi
191.88.72.92,07/31/2021 19:22,GMT,31.36,7.27,167,Madrid,5000,multi,1,Parcialmente nublado,23,3,Cable
191.88.72.92,07/31/2021 19:21,GMT,30.43,7.29,20,Bogotá,150,multi,1,Parcialmente nublado,23,3,Cable
191.88.72.92,07/31/2021 19:20,GMT,30.72,7.05,11,Medellín,0,multi,4,Parcialmente nublado,23,3,Cable
191.88.72.92,07/31/2021 14:06,GMT,31.21,5.26,19,Bogotá,150,multi,1,Parcialmente nublado,30,2,Cable
191.88.72.92,07/31/2021 14:05,GMT,30.49,5.13,9,Medellín,0,multi,1,Parcialmente nublado,30,2,Cable
191.88.72.92,07/31/2021 14:03,GMT,30.29,7.22,177,Madrid,5000,multi,1,Parcialmente nublado,30,2,Cable
191.88.72.92,07/31/2021 14:01,GMT,22.45,4.24,51,Bogotá,150,multi,1,Parcialmente nublado,30,2,Wifi
191.88.72.92,07/31/2021 13:59,GMT,29.12,5.01,46,Medellín,0,multi,1,Parcialmente nublado,30,2,Wifi
191.88.72.92,07/31/2021 13:58,GMT,13.75,4.52,182,Madrid,5000,multi,1,Parcialmente nublado,30,2,Wifi
191.88.72.92,07/31/2021 09:06,GMT,30.87,5.20,20,Bogotá,150,multi,1,Parcialmente nublado,23,3,Cable
191.88.72.92,07/31/2021 09:04,GMT,31.40,5.19,9,Medellín,0,multi,1,Parcialmente nublado,23,3,Cable
191.88.72.92,07/31/2021 09:03,GMT,28.67,5.50,162,Madrid,5000,multi,1,Parcialmente nublado,23,3,Cable
191.88.72.92,07/31/2021 09:02,GMT,29.05,5.13,22,Bogotá,150,multi,1,Parcialmente nublado,23,3,Wifi
191.88.72.92,07/31/2021 09:02,GMT,26.82,5.22,12,Medellín,0,multi,1,Parcialmente nublado,23,3,Wifi
191.88.72.92,07/31/2021 09:00,GMT,11.99,5.17,187,Madrid,5000,multi,1,Parcialmente nublado,23,3,Wifi
191.88.72.92,07/30/2021 19:08,GMT,30.87,5.20,20,Bogotá,150,multi,1,Parcialmente nublado,22,3,Cable
191.88.72.92,07/30/2021 19:07,GMT,31.40,5.19,9,Medellín,0,multi,1,Parcialmente nublado,22,3,Cable
191.88.72.92,07/30/2021 19:07,GMT,28.02,5.35,174,Madrid,5000,multi,1,Parcialmente nublado,22,3,Cable
191.88.72.92,07/30/2021 19:05,GMT,31.08,5.20,21,Bogotá,0,multi,1,Parcialmente nublado,22,3,Wifi
191.88.72.92,07/30/2021 19:04,GMT,31.25,5.19,9,Medellín,,multi,1,Parcialmente nublado,22,3,Wifi
191.88.72.92,07/30/2021 19:02,GMT,9.72,3.87,188,Madrid,5000,multi,1,Parcialmente nublado,22,3,Wifi
191.88.72.92,07/30/2021 14:09,GMT,31.34,4.97,16,Bogotá,150,multi,1,Parcialmente nublado,28,4,Cable
191.88.72.92,07/30/2021 14:08,GMT,31.33,5.06,9,Medellín,0,multi,1,Parcialmente nublado,28,4,Cable
191.88.72.92,07/30/2021 14:05,GMT,26.61,6.84,183,Madrid,5000,multi,1,Parcialmente nublado,28,4,Cable
191.88.72.92,07/30/2021 14:02,GMT,26.71,5.20,13,Medellín,0,multi,1,Parcialmente nublado,28,4,Wifi
191.88.72.92,07/30/2021 14:01,GMT,23.14,4.98,24,Bogotá,150,multi,1,Parcialmente nublado,28,4,Wifi
191.88.72.92,07/30/2021 14:00,GMT,12.79,4.87,181,Madrid,5000,multi,1,Parcialmente nublado,28,4,Wifi
191.88.72.92,07/30/2021 09:05,GMT,31.19,5.23,10,Medellín,0,multi,1,Parcialmente nublado,22,3,Cable
191.88.72.92,07/30/2021 09:04,GMT,30.72,5.02,21,Bogotá,150,multi,1,Parcialmente nublado,22,3,Cable
191.88.72.92,07/30/2021 09:03,GMT,25.49,6.84,169,Madrid,5000,multi,1,Parcialmente nublado,22,3,Cable
191.88.72.92,07/30/2021 09:02,GMT,28.11,5.29,170,Madrid,5000,multi,1,Parcialmente nublado,22,3,Wifi
191.88.72.92,07/30/2021 09:01,GMT,29.98,6.62,6,Medellín,0,multi,1,Parcialmente nublado,22,3,Wifi
191.88.72.92,07/30/2021 09:00,GMT,31.34,6.17,23,Bogotá,150,multi,1,Parcialmente nublado,22,3,Wifi
191.88.72.92,07/29/2021 19:04,GMT,31.07,7.14,19,Medellin,0,multi,1,Nublado ,21,4,Cable
191.88.72.92,07/29/2021 19:03,GMT,31.34,7.24,166,Madrid,5000,multi,1,Nublado ,21,4,Cable
191.88.72.92,07/29/2021 19:02,GMT,31.37,7.22,22,Bogotá,150,multi,1,Nublado ,21,4,Cable
191.88.72.92,07/29/2021 18:59,GMT,12.73,5.29,23,Bogotá,150,multi,1,Nublado ,21,4,Wifi
191.88.72.92,07/29/2021 18:57,GMT,19.01,7.28,11,Medellín,0,multi,1,Nublado ,21,4,Wifi
191.88.72.92,07/29/2021 18:56,GMT,15.23,5.03,177,Madrid,5000,multi,1,Nublado ,21,4,Wifi
191.88.72.92,07/29/2021 14:12,GMT,30.99,7.27,19,Medellin,0,multi,1,Tormentas eléctricas aisladas,27,4,Cable
191.88.72.92,07/29/2021 14:10,GMT,30.42,7.22,28,Bogotá,150,multi,1,Tormentas eléctricas aisladas,27,4,Cable
191.88.72.92,07/29/2021 14:09,GMT,31.06,6.33,171,Madrid,5000,multi,1,Tormentas eléctricas aisladas,27,4,Cable
191.88.72.92,07/29/2021 14:06,GMT,20.59,6.76,180,Madrid,5000,multi,1,Tormentas eléctricas aisladas,27,4,Wifi
191.88.72.92,07/29/2021 14:04,GMT,23.55,5.55,22,Bogotá,150,multi,4,Tormentas eléctricas aisladas,27,4,Wifi
191.88.72.92,07/29/2021 14:03,GMT,19.92,7.11,21,Medellin,0,multi,1,Tormentas eléctricas aisladas,27,4,Wifi
191.88.72.92,07/29/2021 09:05,GMT,30.05,5.23,10,Medellín,0,multi,1,Parcialmente nublado,23,4,Cable
191.88.72.92,07/29/2021 09:04,GMT,31.21,5.02,21,Bogotá,150,multi,1,Parcialmente nublado,23,4,Cable
191.88.72.92,07/29/2021 09:03,GMT,28.11,5.29,170,Madrid,5000,multi,1,Parcialmente nublado,23,4,Cable
191.88.72.92,07/29/2021 09:02,GMT,29.17,5.29,170,Madrid,5000,multi,1,Parcialmente nublado,23,4,Wifi
191.88.72.92,07/29/2021 09:01,GMT,29.43,6.62,6,Medellín,0,multi,4,Parcialmente nublado,23,4,Wifi
191.88.72.92,07/29/2021 09:00,GMT,30.65,6.17,23,Bogotá,150,multi,1,Parcialmente nublado,23,4,Wifi
191.88.72.92,07/28/2021 19:08,GMT,30.88,7.27,19,Medellin,0,multi,1,Muy nublado,22,4,Cable
191.88.72.92,07/28/2021 19:07,GMT,30.90,7.25,28,Bogotá,150,multi,1,Muy nublado,22,4,Cable
191.88.72.92,07/28/2021 19:06,GMT,31.06,6.38,171,Madrid,5000,multi,1,Muy nublado,22,2,Cable
191.88.72.92,07/28/2021 19:05,GMT,22.59,6.72,180,Madrid,5000,multi,1,Muy nublado,23,2,Wifi
191.88.72.92,07/28/2021 19:04,GMT,26.50,5.56,22,Bogotá,150,multi,1,Muy nublado,23,2,Wifi
191.88.72.92,07/28/2021 19:03,GMT,49.92,7.16,21,Medellin,0,multi,4,Muy nublado,23,2,Wifi
191.88.72.92,07/28/2021 14:06,GMT,26.84,5.34,23,Bogotá,150,multi,1,Parcialmente nublado,28,4,Wifi
191.88.72.92,07/28/2021 14:05,GMT,28.24,7.21,20,Medellin,0,multi,4,Parcialmente nublado,28,4,Wifi
191.88.72.92,07/28/2021 14:00,GMT,7.80,2.27,181,Madrid,5000,multi,1,Parcialmente nublado,27,4,Wifi
191.88.72.92,07/28/2021 13:59,GMT,26.61,6.84,180,Madrid,5000,multi,1,Parcialmente nublado,27,4,Cable
191.88.72.92,07/28/2021 13:58,GMT,31.41,7.25,20,Bogotá,150,multi,1,Parcialmente nublado,27,4,Cable
191.88.72.92,07/28/2021 13:57,GMT,31.32,7.26,19,Medellin,0,multi,1,Parcialmente nublado,27,4,Cable
191.88.72.92,07/28/2021 9:13,GMT,30.03,7.12,22,Medellin,0,multi,1,Muy nublado,21,4,Wifi
191.88.72.92,07/28/2021 9:12,GMT,26.17,6.70,170,Madrid,5000,multi,1,Muy nublado,21,4,Wifi
191.88.72.92,07/28/2021 9:10,GMT,30.10,6.83,24,Bogotá,150,multi,1,Muy nublado,21,4,Wifi
191.88.72.92,07/28/2021 9:06,GMT,31.07,7.14,19,Medellin,0,multi,1,Muy nublado,21,4,Cable
191.88.72.92,07/28/2021 9:03,GMT,31.34,7.24,166,Madrid,5000,multi,1,Muy nublado,21,4,Cable
191.88.72.92,07/28/2021 9:02,GMT,31.37,7.22,22,Bogotá,150,multi,1,Muy nublado,21,4,Cable
191.88.72.92,07/27/2021 19:01,GMT,31.05,7.22,169,Madrid,5000,multi,1,Nublado ,20,2,Cable
191.88.72.92,07/27/2021 19:00,GMT,30.92,7.27,10,Medellín,0,multi,1,Nublado ,20,2,Cable
191.88.72.92,07/27/2021 18:59,GMT,31.41,7.34,21,Bogotá,150,multi,1,Nublado ,20,2,Cable
191.88.72.92,07/27/2021 18:57,GMT,24.79,6.56,176,Madrid,5000,multi,1,Nublado ,20,2,Wifi
